year,county,race,population,misdemeanor,felony,arrest_count
2005,Ventura,Asian/Pacific Islander,49056,0.239172097,0.140468227,440
2005,Yolo,All Combined,187353,1.142966654,1.182608696,8997
2005,Yolo,Black,3963,3.694518973,5.907692308,733
2005,Yolo,White,99970,1.092372557,1.135785953,4597
2005,Yolo,Hispanic,51884,1.507857417,1.376588629,3155
2005,Yolo,Asian/Pacific Islander,25243,0.290149483,0.347157191,322
2005,Yuba,All Combined,67710,1.804139517,1.894983278,5108
2005,Yuba,Black,2019,2.752778842,3.743812709,258
2005,Yuba,White,41975,2.031812955,2.082943144,3533
2005,Yuba,Hispanic,14597,1.735530855,1.828093645,1061
2005,Yuba,Asian/Pacific Islander,5038,0.875047911,0.836120401,179
2006,Alameda,All Combined,1464837,0.914638712,0.862279512,54830
2006,Alameda,Black,193078,2.109322351,2.940976934,19419
2006,Alameda,White,541662,0.83302134,0.549525102,16561
2006,Alameda,Hispanic,309550,1.112691876,0.94165536,13597
2006,Alameda,Asian/Pacific Islander,366269,0.209284912,0.191994573,3099
2006,All Combined,All Combined,36246829,1.000374392,1.000678426,1539364
2006,All Combined,Black,2216702,2.395731936,3.523744912,261673
2006,All Combined,White,15625374,0.907899663,0.751017639,559957
2006,All Combined,Hispanic,12923554,1.126918757,1.139755767,627714
2006,All Combined,Asian/Pacific Islander,4510704,0.226881318,0.228629579,43230
2006,Alpine,All Combined,1255,2.565705728,1.243554953,109
2006,Alpine,White,917,2.653687757,1.10990502,80
2006,Amador,All Combined,37966,1.089479596,1.018317503,1676
2006,Amador,White,30727,1.134406589,1.050881954,1408
2006,Amador,Hispanic,4196,1.026207413,0.937584803,173
2006,Butte,All Combined,215684,1.444402845,0.756445047,10733
2006,Butte,Black,2993,5.078622239,3.853459973,577
2006,Butte,White,167725,1.469112692,0.744911805,8430
2006,Butte,Hispanic,26826,1.434668663,0.774084125,1334
2006,Butte,Asian/Pacific Islander,8530,0.693373268,0.397557666,208
2006,Calaveras,All Combined,45314,1.233620367,0.822252374,2043
2006,Calaveras,White,38647,1.247847248,0.849389417,1773
2006,Calaveras,Hispanic,4062,1.36428304,0.601085482,184
2006,Colusa,All Combined,20892,1.50355672,1.045454545,1167
2006,Colusa,Black,143,11.25795582,8.539348711,62
2006,Colusa,White,9101,1.521901909,1.170284939,527
2006,Colusa,Hispanic,10750,1.347809809,0.820217096,522
2006,Contra Costa,All Combined,1010103,0.662298765,0.857530529,30749
2006,Contra Costa,Black,92029,1.829651816,3.328358209,9060
2006,Contra Costa,White,530655,0.551853238,0.621438263,12739
2006,Contra Costa,Hispanic,217690,0.747660052,0.847354138,7080
