year,county,population,misdemeanor,felony
2009,Santa Barbara,422423,2.21,0.78
2009,Santa Clara,1774891,0.83,0.76
2009,Santa Cruz,261912,1.53,0.97
2009,Shasta,176882,1.69,0.87
2009,Sierra,3241,1.46,1.03
2009,Siskiyou,44951,1.52,1.21
2009,Solano,412488,0.99,1.05
2009,Sonoma,480598,1.33,0.89
2009,Stanislaus,512053,1.07,1.43
2009,Sutter,94371,1.18,1
2009,Tehama,63122,1.74,1.47
2009,Trinity,13772,1.46,1.39
2009,Tulare,438408,1.34,1.43
2009,Tuolumne,55257,1.43,1.29
2009,Ventura,818545,1.2,0.87
2009,Yolo,199699,1.04,1.01
2009,Yuba,71798,1.58,1.36
2010,Alameda,1513005,0.94,0.94
2010,Alpine,1233,2.01,1.01
2010,Amador,38487,0.83,1.17
2010,Butte,220273,1.6,0.84
2010,Calaveras,45654,0.94,0.97
2010,Colusa,21642,1.71,1.12
2010,Contra Costa,1051553,0.68,0.93
2010,Del Norte,28822,1.57,1.56
2010,El Dorado,181567,0.94,0.86
2010,Fresno,932969,1.22,1.31
2010,Glenn,28292,1.58,1.37
2010,Humboldt,136056,2.23,1.33
2010,Imperial,175520,1.44,1.3
2010,Inyo,18823,1.61,0.96
2010,Kern,846568,1.43,1.48
2010,Kings,154276,1.63,0.92
2010,Lake,64854,1.74,1.45
2010,Lassen,35030,0.99,0.94
2010,Los Angeles,9824194,0.96,1.04
2010,Madera,151466,0.81,0.82
2010,Marin,252937,0.91,0.62
2010,Mariposa,18332,1.36,1.23
2010,Mendocino,88292,1.68,1.5
2010,Merced,256800,1.31,1.4
2010,Modoc,9802,1.26,1.61
2010,Mono,14338,0.99,0.87
2010,Monterey,416141,1.07,0.92
2010,Napa,137579,1.03,0.96
2010,Nevada,98938,0.92,0.73
2010,Orange,3014996,0.88,0.74
2010,Placer,350230,0.73,0.9
2010,Plumas,20098,1.56,1.27
2010,Riverside,2194933,0.66,0.8
2010,Sacramento,1421236,0.83,1.08
2010,San Benito,55547,0.91,0.96
2010,San Bernardino,2039040,1.07,1.35
2010,San Diego,3112965,1.01,0.89
2010,San Francisco,808850,0.57,1.11
2010,San Joaquin,687095,1.21,1.17
2010,San Luis Obispo,269446,1.38,0.74
2010,San Mateo,719446,0.72,0.64
2010,Santa Barbara,424688,2.15,0.8
2010,Santa Clara,1785089,0.82,0.74
2010,Santa Cruz,263709,1.54,1.01
2010,Shasta,177538,1.63,1.08
2010,Sierra,3319,1.16,1.08
2010,Siskiyou,45019,1.67,1.2
2010,Solano,413723,0.86,1.01
2010,Sonoma,484852,1.29,0.95
2010,Stanislaus,515459,1.02,1.41
2010,Sutter,95085,1.23,1.11
2010,Tehama,63710,1.64,1.58
2010,Trinity,13943,1.62,1.68
2010,Tulare,443487,1.43,1.43
2010,Tuolumne,55690,1.4,1.26
2010,Ventura,825193,1.24,0.89
2010,Yolo,201651,1.17,1.11
2010,Yuba,72498,1.61,1.37
2011,Alameda,1526095,0.92,0.84
2011,Alpine,1213,1.8,1.63
2011,Amador,38033,0.81,1.1
2011,Butte,220829,1.7,0.94
2011,Calaveras,45384,0.95,0.92
2011,Colusa,21731,1.69,1.13
2011,Contra Costa,1060743,0.66,0.91
2011,Del Norte,28831,1.7,1.7
2011,El Dorado,181490,0.98,0.91
2011,Fresno,940205,1.09,1.65
2011,Glenn,28461,1.32,1.51
2011,Humboldt,136653,2.17,1.31
2011,Imperial,177456,1.34,1.34
2011,Inyo,18998,1.52,1
2011,Kern,853130,1.4,1.52
2011,Kings,153365,1.7,1.12
2011,Lake,64781,1.72,1.59
2011,Lassen,35015,1.01,0.88
2011,Los Angeles,9862211,1.01,1.05
2011,Madera,152313,0.76,0.94
2011,Marin,254579,0.89,0.61
2011,Mariposa,18128,1.22,1.13
2011,Mendocino,88535,1.62,1.4
2011,Merced,260143,1.1,1.35
2011,Modoc,9731,1.08,0.93
2011,Mono,14446,1.07,0.81
2011,Monterey,419899,1.08,0.94
2011,Napa,138349,1.02,1.03
2011,Nevada,98924,0.93,0.69
2011,Orange,3044425,0.87,0.72
2011,Placer,356319,0.72,0.9
2011,Plumas,20136,1.37,1.16
2011,Riverside,2222403,0.7,0.84
2011,Sacramento,1431573,0.86,1.07
2011,San Benito,56141,0.81,0.93
2011,San Bernardino,2053786,1.07,1.35
2011,San Diego,3133057,0.98,0.88
2011,San Francisco,816127,0.78,0.98
2011,San Joaquin,693371,1.06,1.05
2011,San Luis Obispo,269937,1.42,0.81
2011,San Mateo,727718,0.71,0.63
2011,Santa Barbara,426507,1.93,0.81
2011,Santa Clara,1805633,0.74,0.67
2011,Santa Cruz,266083,1.54,0.99
2011,Shasta,178158,1.58,1
2011,Sierra,3263,1.05,1.02
2011,Siskiyou,45086,1.59,1.23
2011,Solano,415065,0.9,1.06
2011,Sonoma,487622,1.25,0.94
2011,Stanislaus,518516,0.97,1.39
2011,Sutter,95212,1.19,1.17
2011,Tehama,63801,1.58,1.55
2011,Trinity,13806,1.66,2.17
2011,Tulare,448037,1.53,1.48
2011,Tuolumne,55645,1.5,1.45
2011,Ventura,830350,1.24,0.9
2011,Yolo,202971,1.06,0.98
2011,Yuba,72920,1.75,1.73
2012,Alameda,1539147,0.92,0.75
2012,Alpine,1219,2,1.59
2012,Amador,37237,0.79,1.13
2012,Butte,221469,1.67,1.12
2012,Calaveras,45245,1.03,1.09
2012,Colusa,21767,1.71,1.43
2012,Contra Costa,1068900,0.68,0.92
2012,Del Norte,28879,1.78,1.37
2012,El Dorado,183596,1.02,0.9
2012,Fresno,949448,1.2,1.89
2012,Glenn,28393,1.2,1.37
2012,Humboldt,136202,2.22,1.61
2012,Imperial,178482,1.26,1.37
2012,Inyo,19267,1.28,1.06
2012,Kern,860265,1.45,1.54
2012,Kings,152456,2.02,1.48
2012,Lake,64680,1.8,1.71
2012,Lassen,34955,1.24,0.93
2012,Los Angeles,9945864,1.01,1.01
2012,Madera,151659,0.9,1.1
2012,Marin,254292,0.97,0.65
2012,Mariposa,18147,1.34,0.95
2012,Mendocino,89092,1.85,1.54
2012,Merced,262003,1.09,1.32
2012,Modoc,9596,1.77,2.19
2012,Mono,14547,1.08,0.64
2012,Monterey,421421,0.99,0.95
2012,Napa,138847,1.06,1.08
2012,Nevada,98382,1,0.73
2012,Orange,3071877,0.86,0.72
2012,Placer,360345,0.74,0.93
2012,Plumas,19764,1.5,1.23
2012,Riverside,2248311,0.73,0.87
2012,Sacramento,1436441,0.78,1.02
2012,San Benito,56844,0.75,0.83
2012,San Bernardino,2064705,1.08,1.34
2012,San Diego,3160737,0.94,0.85
2012,San Francisco,825308,0.7,0.88
2012,San Joaquin,698607,1.04,1.16
2012,San Luis Obispo,270677,1.66,0.85
2012,San Mateo,735676,0.75,0.63
2012,Santa Barbara,426979,1.96,0.81
2012,Santa Clara,1825349,0.69,0.66
2012,Santa Cruz,269214,1.58,1.02
2012,Shasta,178659,1.64,1.43
2012,Sierra,3279,1.46,1.37
2012,Siskiyou,45579,1.44,1.26
2012,Solano,420007,0.92,1.15
2012,Sonoma,489506,1.25,0.9
2012,Stanislaus,523544,0.98,1.6
2012,Sutter,97122,1.21,1.1
2012,Tehama,64282,1.68,1.71
2012,Trinity,13790,1.45,2.63
2012,Tulare,452849,1.58,1.42
2012,Tuolumne,54585,1.42,1.43
2012,Ventura,833508,1.25,0.88
2012,Yolo,205411,0.98,0.98
2012,Yuba,73366,1.7,1.66
2013,Alameda,1563370,0.88,0.75
2013,Alpine,1228,0.95,0.84
2013,Amador,36945,0.75,1.23
2013,Butte,222035,1.83,1.15
2013,Calaveras,45214,1.35,1.13
2013,Colusa,21987,1.56,1.39
2013,Contra Costa,1081862,0.67,0.92
2013,Del Norte,28530,2.42,1.81
2013,El Dorado,184054,1.06,0.95
2013,Fresno,958260,1.31,2.03
2013,Glenn,28599,1.21,1.35
2013,Humboldt,136480,2.39,1.55
2013,Imperial,179326,1.27,1.39
2013,Inyo,19241,1.54,0.96
2013,Kern,869797,1.55,1.63
2013,Kings,152456,2.13,1.41
2013,Lake,64782,1.83,1.8
2013,Lassen,34966,1.04,1.04
2013,Los Angeles,10010961,0.97,0.95
2013,Madera,153409,0.84,1.06
2013,Marin,256264,0.95,0.6
2013,Mariposa,18101,1.27,1.19
2013,Mendocino,88931,1.9,1.56
2013,Merced,263441,1.09,1.2
2013,Modoc,9457,1.61,2.21
2013,Mono,14376,0.84,0.97
2013,Monterey,424119,1.01,0.86
2013,Napa,139831,1.01,1.1
2013,Nevada,98317,0.98,0.77
2013,Orange,3097966,0.81,0.72
2013,Placer,365125,0.8,1.02
2013,Plumas,19466,1.65,1.08
2013,Riverside,2264173,0.78,0.87
2013,Sacramento,1448268,0.82,1.08
2013,San Benito,57366,0.78,0.86
2013,San Bernardino,2075160,1.06,1.35
2013,San Diego,3184072,0.96,0.89
2013,San Francisco,833827,0.72,0.96
2013,San Joaquin,703790,1.02,1.11
2013,San Luis Obispo,271740,1.69,0.81
2013,San Mateo,741857,0.81,0.62
2013,Santa Barbara,433157,2.08,0.84
2013,Santa Clara,1850595,0.73,0.69
2013,Santa Cruz,271495,1.55,0.96
2013,Shasta,178591,1.56,1.35
2013,Sierra,3270,0.72,1.22
2013,Siskiyou,45215,1.56,1.39
2013,Solano,424048,0.91,1.12
2013,Sonoma,493070,1.09,0.93
2013,Stanislaus,527232,1.06,1.71
2013,Sutter,97386,1.3,1.04
2013,Tehama,64498,1.88,2.09
2013,Trinity,13776,1.4,2.62
2013,Tulare,456075,1.64,1.47
2013,Tuolumne,54811,1.48,1.37
2013,Ventura,839617,1.16,0.89
2013,Yolo,206621,1.03,1.18
2013,Yuba,73600,1.71,1.49
2014,Alameda,1582119,0.95,0.81
2014,Alpine,1243,1.26,0.78
2014,Amador,37017,0.89,1.31
2014,Butte,224518,1.7,1.19
2014,Calaveras,45508,1.17,1.1
2014,Colusa,22254,1.61,1.44
2014,Contra Costa,1095476,0.68,0.97
2014,Del Norte,28477,2.08,1.81
2014,El Dorado,184320,1.07,0.98
2014,Fresno,969338,1.36,1.91
2014,Glenn,28868,1.31,1.08
2014,Humboldt,136779,2.21,1.52
2014,Imperial,183154,1.2,1.28
2014,Inyo,19244,1.43,0.97
2014,Kern,878356,1.77,1.55
2014,Kings,153601,1.94,1.3
2014,Lake,65465,2.05,1.8
